时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-5-6 16:18:00,西安,14,阴,北风0级,14,97%,1,11,0.0,971,8,100,
2026-5-6 18:02:00,西安,15,阴,东北风1级,15,95%,3,32,0.0,971,8,100,
2026-5-6 20:13:00,西安,14,阴,东南风1级,14,91%,5,124,0.0,972,8,100,
2026-5-6 21:48:00,西安,14,阴,东南风1级,14,92%,5,114,0.0,973,8,100,
2026-5-6 22:48:00,西安,13,阴,北风0级,13,95%,1,341,0.0,974,8,99,
2026-5-6 23:48:00,西安,16,多云,西风1级,16,84%,2,282,0.0,975,8,99,
2026-5-7 02:48:00,西安,21,多云,北风1级,19,35%,4,17,0.0,977,8,94,
2026-5-7 05:59:00,西安,24,阴,北风3级,21,29%,17,0,0.0,975,8,97,
2026-5-7 09:28:00,西安,23,阴,西风2级,21,25%,9,270,0.0,972,8,97,
