时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-8 16:08:00,南京,2,晴,东南风1级,0,60%,3,135,0.0,1024,8,5,
2026-1-8 17:20:00,南京,1,晴,东南风1级,-1,68%,4,135,0.0,1024,7,10,
2026-1-8 18:24:00,南京,0,雾,东南风1级,-3,72%,5,135,0.0,1023,6,10,
2026-1-8 19:16:00,南京,-1,雾,东风2级,-4,75%,7,90,0.0,1023,6,10,
2026-1-8 20:16:00,南京,-1,雾,东南风2级,-5,71%,9,135,0.0,1022,6,10,
2026-1-8 21:17:00,南京,-1,雾,东风2级,-4,75%,7,90,0.0,1021,6,10,
2026-1-8 22:16:00,南京,0,雾,东南风2级,-3,73%,7,135,0.0,1021,7,92,
2026-1-8 23:08:00,南京,-1,雾,东风1级,-4,74%,4,90,0.0,1021,7,92,
2026-1-9 01:40:00,南京,4,多云,东南风3级,0,50%,15,135,0.0,1021,10,91,
2026-1-9 03:32:00,南京,9,晴,南风4级,4,36%,20,180,0.0,1020,13,10,
2026-1-9 04:32:00,南京,12,晴,西南风4级,6,28%,25,225,0.0,1018,13,10,
2026-1-9 05:16:00,南京,13,晴,南风4级,8,27%,22,180,0.0,1016,16,10,
2026-1-9 06:24:00,南京,13,多云,西南风5级,6,23%,29,225,0.0,1016,16,10,
2026-1-9 07:16:00,南京,13,多云,西南风5级,6,23%,29,225,0.0,1015,18,10,
2026-1-9 08:26:00,南京,12,晴,西南风4级,6,27%,26,225,0.0,1014,18,10,
2026-1-9 09:24:00,南京,11,晴,西南风3级,7,32%,13,225,0.0,1014,19,2,
2026-1-9 10:10:00,南京,10,晴,西风2级,7,34%,9,270,0.0,1015,15,1,
2026-1-9 11:08:00,南京,9,晴,西南风3级,5,38%,12,225,0.0,1015,16,0,
2026-1-9 12:40:00,南京,9,晴,西南风4级,4,40%,21,225,0.0,1015,16,0,
2026-1-9 13:30:00,南京,9,晴,西风3级,5,42%,16,270,0.0,1015,15,0,
2026-1-9 14:16:00,南京,8,晴,西风2级,5,44%,8,270,0.0,1016,14,0,
