时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-6-12 16:00:00,重庆,20,雾,西北风2级,21,88%,6,315,0.0,981,6,96,
2026-6-12 19:00:00,重庆,20,雾,西风1级,21,89%,5,270,0.0,981,6,100,
2026-6-12 21:36:00,重庆,19,中雨,北风1级,20,93%,4,0,0.0,979,2,99,
2026-6-12 23:00:00,重庆,20,雾,西风1级,22,95%,4,270,1.0,980,2,99,
2026-6-13 03:06:00,重庆,24,阴,东南风2级,24,67%,10,135,0.0,980,12,10,
2026-6-13 07:42:00,重庆,28,多云,东风2级,29,52%,9,90,0.0,977,23,10,
2026-6-13 10:08:00,重庆,28,多云,东风2级,29,53%,8,90,0.0,975,24,10,
2026-6-13 12:08:00,重庆,27,晴,南风2级,28,58%,6,180,0.0,976,28,3,
2026-6-13 14:50:00,重庆,24,晴,西北风2级,25,75%,7,315,0.0,976,16,10,🟧 橙色降温提示：1小时降温3℃
