时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-1 16:24:00,深圳,21,多云,东北风1级,22,87%,5,44,0.0,1003,12,91,
2026-3-1 17:17:00,深圳,21,多云,东北风1级,22,88%,5,44,0.0,1003,11,93,
2026-3-1 18:26:00,深圳,20,雾,东北风1级,21,90%,5,59,0.0,1003,10,99,
2026-3-1 19:18:00,深圳,21,多云,东北风1级,22,90%,3,63,0.0,1002,11,100,
2026-3-1 20:24:00,深圳,21,多云,北风1级,22,89%,5,19,0.0,1002,12,100,
2026-3-1 21:16:00,深圳,21,多云,东北风2级,22,88%,8,38,0.0,1002,12,100,
2026-3-1 22:16:00,深圳,21,多云,东北风2级,22,88%,11,48,0.0,1003,12,100,
2026-3-1 23:16:00,深圳,21,雾,东北风1级,22,90%,3,37,0.0,1003,4,100,
2026-3-2 02:00:00,深圳,22,雾,东北风1级,22,87%,5,29,0.0,1005,8,91,
2026-3-2 04:40:00,深圳,27,多云,南风1级,28,70%,4,158,0.0,1004,26,91,
2026-3-2 05:48:00,深圳,26,阴,南风2级,27,73%,8,166,0.0,1003,30,91,
2026-3-2 06:48:00,深圳,25,阴,南风1级,26,79%,3,191,0.0,1002,24,91,
2026-3-2 07:48:00,深圳,24,阴,南风2级,24,83%,7,199,0.1,1002,18,91,
2026-3-2 08:40:00,深圳,24,阴,西南风1级,25,83%,2,243,0.1,1001,19,91,
2026-3-2 09:40:00,深圳,24,阴,南风2级,25,85%,10,197,0.0,1002,14,93,
2026-3-2 10:40:00,深圳,23,阴,南风1级,23,87%,3,169,0.0,1002,11,95,
2026-3-2 11:26:00,深圳,23,雾,南风1级,25,88%,2,160,0.0,1002,9,99,
2026-3-2 12:58:00,深圳,23,阴,北风0级,25,92%,1,355,1.9,1004,4,99,
2026-3-2 14:00:00,深圳,22,阴,东北风2级,23,91%,11,40,0.3,1004,26,99,
