时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-12 16:00:00,厦门,12,晴,东风5级,5,45%,32,71,0.0,1009,30,0,
2026-3-12 17:42:00,厦门,12,晴,东北风4级,4,43%,26,29,0.0,1008,30,0,💨 北风警报：东北风 4级
2026-3-12 18:48:00,厦门,12,晴,东北风3级,9,46%,12,62,0.0,1008,27,0,
2026-3-12 19:32:00,厦门,11,晴,东北风4级,2,50%,28,37,0.0,1007,22,1,📉 红色降温预警：1小时骤降7℃;💨 北风警报：东北风 4级
2026-3-12 20:26:00,厦门,11,晴,东北风4级,3,53%,20,22,0.0,1006,20,3,💨 北风警报：东北风 4级
2026-3-12 21:26:00,厦门,11,晴,东北风3级,8,56%,14,35,0.0,1007,18,4,
2026-3-12 22:16:00,厦门,11,晴,东北风4级,6,55%,23,47,0.0,1008,18,3,💨 北风警报：东北风 4级
