时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-21 16:16:00,南京,3,多云,东风3级,-1,60%,12,90,0.0,1026,26,91,
2025-12-21 17:08:00,南京,3,阴,东风2级,0,61%,7,90,0.0,1026,24,91,
2025-12-21 18:18:00,南京,3,多云,东风3级,-2,64%,18,90,0.0,1026,25,91,
2025-12-21 19:08:00,南京,3,多云,东风3级,-2,63%,16,90,0.0,1026,24,91,
2025-12-21 20:17:00,南京,3,多云,东风3级,-1,65%,13,90,0.0,1024,26,94,
2025-12-21 21:08:00,南京,3,多云,东风3级,-1,66%,16,90,0.0,1024,23,99,
2025-12-21 22:08:00,南京,3,阴,东风3级,-1,67%,12,90,0.0,1024,21,99,
2025-12-21 23:08:00,南京,3,阴,东风3级,-1,66%,16,90,0.0,1024,19,100,
2025-12-22 01:40:00,南京,5,阴,东南风4级,-1,62%,24,135,0.0,1024,22,100,
2025-12-22 03:40:00,南京,8,阴,东南风3级,3,56%,19,135,0.0,1023,24,100,
2025-12-22 04:32:00,南京,9,阴,东南风4级,4,55%,20,135,0.0,1022,27,100,
2025-12-22 05:17:00,南京,9,阴,东南风5级,3,55%,30,135,0.0,1021,25,100,
2025-12-22 06:34:00,南京,9,阴,东南风3级,5,56%,18,135,0.0,1020,28,100,
2025-12-22 07:16:00,南京,9,阴,东南风4级,4,57%,23,135,0.0,1019,25,99,
2025-12-22 08:24:00,南京,9,阴,东南风4级,4,59%,21,135,0.0,1019,23,99,
2025-12-22 09:24:00,南京,9,阴,东南风3级,6,62%,14,135,0.0,1019,20,98,
2025-12-22 10:16:00,南京,9,阴,东南风4级,4,63%,20,135,0.0,1019,19,99,
