时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-7-28 17:08:00,昆明,19,阴,东风1级,20,84%,4,90,0.0,810,30,99,
2026-7-28 19:10:00,昆明,19,阴,南风1级,20,88%,5,180,0.0,810,5,100,
2026-7-28 21:01:00,昆明,18,阵雨,东风3级,18,93%,12,90,1.0,810,30,100,
2026-7-28 22:51:00,昆明,18,阴,东风3级,17,90%,13,90,0.0,810,30,100,
2026-7-28 23:58:00,昆明,18,阴,东南风3级,17,89%,16,135,0.0,810,30,100,
2026-7-29 04:02:00,昆明,21,阴,南风4级,19,72%,22,180,0.0,811,30,100,
2026-7-29 07:40:00,昆明,23,阴,南风5级,20,65%,29,180,0.0,809,30,99,
2026-7-29 10:28:00,昆明,21,阴,南风4级,19,74%,23,180,0.0,809,30,99,
