时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-24 16:25:00,西安,28,多云,南风1级,30,76%,4,180,0.0,962,11,9,
2026-8-24 17:15:00,西安,28,多云,西北风1级,30,75%,4,315,0.0,961,11,9,
2026-8-24 18:15:00,西安,28,多云,西南风1级,31,79%,3,225,0.0,961,11,9,
2026-8-24 19:15:00,西安,27,多云,东北风1级,30,81%,3,45,0.0,961,11,9,
2026-8-24 20:15:00,西安,27,多云,东南风2级,29,78%,10,135,0.0,961,11,9,
2026-8-24 21:15:00,西安,27,多云,西风1级,30,81%,4,270,0.0,961,11,9,
2026-8-24 22:15:00,西安,27,多云,东北风2级,29,81%,11,45,0.0,962,11,9,
2026-8-24 22:48:00,西安,27,多云,东北风2级,29,82%,11,45,0.0,962,11,9,
2026-8-25 00:48:00,西安,28,晴,东北风2级,31,78%,10,45,0.0,962,11,9,
2026-8-25 02:37:00,西安,30,晴,东风3级,35,69%,13,90,0.0,962,11,9,
2026-8-25 03:37:00,西安,30,晴,东南风3级,36,68%,12,135,0.0,962,11,9,
2026-8-25 04:25:00,西安,33,多云,东南风3级,39,60%,12,135,0.0,962,11,9,
2026-8-25 05:15:00,西安,34,多云,南风2级,40,57%,10,180,0.0,961,11,9,
2026-8-25 06:25:00,西安,36,多云,东北风3级,40,53%,19,45,0.3,960,11,9,
2026-8-25 07:25:00,西安,36,多云,东北风3级,40,49%,13,45,0.7,959,11,9,
2026-8-25 08:25:00,西安,35,晴,东北风3级,39,51%,19,45,0.0,958,11,9,
2026-8-25 09:25:00,西安,34,晴,东风3级,37,54%,16,90,0.0,958,11,9,
2026-8-25 10:15:00,西安,34,晴,南风2级,37,55%,9,180,0.0,958,11,9,
2026-8-25 11:15:00,西安,33,晴,东风2级,36,59%,6,90,0.0,958,11,9,
2026-8-25 12:25:00,西安,32,晴,东北风2级,35,62%,7,45,0.0,958,11,9,
2026-8-25 13:37:00,西安,31,晴,北风2级,34,62%,8,0,0.0,959,11,9,
2026-8-25 14:25:00,西安,30,晴,西南风1级,33,63%,4,225,0.0,960,11,9,
2026-8-25 15:25:00,西安,29,晴,西南风1级,31,66%,4,225,0.0,960,11,9,
