时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-2-22 16:24:00,广州,17,晴,北风0级,18,92%,1,11,0.0,1005,9,91,
2026-2-22 17:18:00,广州,17,雾,北风1级,21,93%,5,358,0.0,1005,7,91,
2026-2-22 18:34:00,广州,17,雾,东北风1级,21,94%,3,30,0.0,1004,6,91,
2026-2-22 19:18:00,广州,16,雾,东北风1级,21,94%,4,52,0.0,1004,5,91,
2026-2-22 20:24:00,广州,16,雾,北风0级,21,95%,1,354,0.0,1004,5,91,
2026-2-22 21:18:00,广州,16,雾,东北风1级,20,95%,2,31,0.0,1004,4,91,
2026-2-22 22:16:00,广州,16,雾,东北风1级,21,95%,2,22,0.0,1004,4,0,
2026-2-22 23:24:00,广州,16,雾,西南风1级,16,95%,4,221,0.0,1004,5,0,📉 红色降温预警：1小时骤降5℃
2026-2-23 02:00:00,广州,22,阴,东南风1级,21,70%,2,150,0.0,1007,24,91,
2026-2-23 04:49:00,广州,25,阴,南风2级,22,52%,10,177,0.0,1006,30,91,
