时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-9 16:26:00,成都,2,晴,东北风1级,0,100%,2,45,0.0,963,16,10,
2026-1-9 17:18:00,成都,2,晴,东北风0级,1,100%,1,45,0.0,963,16,10,
2026-1-9 18:25:00,成都,2,晴,东北风1级,0,100%,2,45,0.0,963,16,10,
2026-1-9 19:18:00,成都,1,晴,北风1级,-1,100%,2,0,0.0,963,16,10,
2026-1-9 20:18:00,成都,1,晴,北风1级,-1,100%,2,0,0.0,963,16,10,
2026-1-9 21:18:00,成都,2,晴,北风1级,0,100%,3,0,0.0,963,16,10,
2026-1-9 22:18:00,成都,1,晴,东北风1级,-1,100%,2,45,0.0,964,16,97,
2026-1-9 23:10:00,成都,1,晴,北风1级,-1,100%,2,0,0.0,965,16,97,
2026-1-10 01:42:00,成都,3,多云,东北风2级,1,100%,7,45,0.0,967,16,95,
2026-1-10 03:16:00,成都,7,多云,东北风1级,5,69%,5,45,0.0,970,16,10,
2026-1-10 04:24:00,成都,11,多云,北风2级,9,52%,7,0,0.0,969,16,93,
2026-1-10 05:18:00,成都,13,多云,南风2级,11,45%,9,180,0.0,968,16,93,
2026-1-10 06:24:00,成都,14,多云,西风3级,11,38%,12,270,0.0,967,16,92,
2026-1-10 07:17:00,成都,14,晴,西南风2级,12,39%,8,225,0.0,967,16,91,
2026-1-10 08:25:00,成都,14,晴,西南风2级,12,40%,8,225,0.0,966,16,91,
