时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-5 17:58:00,深圳,17,阴,北风2级,14,67%,6,21,0.0,1011,28,10,
2026-3-5 19:48:00,深圳,16,阴,北风2级,12,69%,10,2,0.0,1010,25,10,
2026-3-5 20:33:00,深圳,16,阴,北风2级,13,71%,6,13,0.0,1010,24,9,
2026-3-5 21:32:00,深圳,15,阴,东北风2级,12,72%,8,50,0.0,1010,23,6,
2026-3-5 22:26:00,深圳,15,多云,北风2级,13,76%,11,358,0.0,1010,21,4,
2026-3-5 23:42:00,深圳,15,多云,北风2级,12,69%,11,356,0.0,1011,23,2,
2026-3-6 02:00:00,深圳,18,多云,北风2级,14,65%,7,0,0.0,1012,22,0,
2026-3-6 04:34:00,深圳,20,阴,北风2级,17,56%,8,17,0.0,1012,20,9,
2026-3-6 05:40:00,深圳,22,阴,东风2级,21,56%,8,78,0.0,1011,20,10,
2026-3-6 06:48:00,深圳,22,阴,东风1级,19,55%,2,98,0.0,1010,20,10,
2026-3-6 07:32:00,深圳,23,阴,东风1级,20,52%,5,68,0.0,1009,21,10,
2026-3-6 08:32:00,深圳,22,晴,东南风2级,20,55%,8,156,0.0,1008,24,10,
2026-3-6 09:34:00,深圳,21,晴,东风1级,20,56%,5,93,0.0,1008,24,10,
2026-3-6 10:34:00,深圳,19,多云,北风2级,17,62%,8,348,0.0,1009,24,91,🟧 橙色降温提示：1小时降温3℃
2026-3-6 11:24:00,深圳,19,多云,北风2级,17,63%,7,17,0.0,1009,25,91,
2026-3-6 12:48:00,深圳,19,多云,东北风2级,18,66%,10,43,0.0,1010,23,10,
2026-3-6 13:48:00,深圳,18,多云,东北风1级,17,66%,4,31,0.0,1011,24,8,
