时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-28 16:34:00,武汉,3,雾,西北风1级,-1,88%,3,326,0.0,1022,8,0,
2026-1-28 17:24:00,武汉,2,雾,西风1级,-1,95%,5,248,0.0,1022,5,0,
2026-1-28 18:32:00,武汉,0,雾,西北风1级,-2,96%,4,311,0.0,1023,2,0,
2026-1-28 19:26:00,武汉,1,雾,北风0级,-1,98%,1,1,0.0,1022,3,5,
2026-1-28 20:26:00,武汉,2,雾,北风1级,0,98%,5,353,0.0,1022,4,9,
2026-1-28 21:24:00,武汉,3,雾,东北风2级,0,95%,6,33,0.0,1022,8,91,
2026-1-28 22:26:00,武汉,4,雾,东北风1级,1,83%,4,31,0.0,1022,10,91,
2026-1-28 23:22:00,武汉,4,雾,东北风1级,1,82%,5,26,0.0,1022,10,91,
2026-1-29 02:01:00,武汉,6,雾,东风2级,2,77%,9,69,0.0,1023,8,99,
2026-1-29 04:18:00,武汉,6,雾,东北风3级,2,77%,15,43,0.0,1022,9,99,
2026-1-29 05:40:00,武汉,5,阵雨,东北风2级,4,83%,6,33,0.0,1021,9,99,
2026-1-29 06:42:00,武汉,5,阴,东北风2级,2,88%,9,46,0.1,1020,6,100,
2026-1-29 07:32:00,武汉,5,雨,东北风2级,2,94%,6,52,0.3,1020,3,100,
2026-1-29 08:34:00,武汉,5,阴,东北风3级,0,96%,15,58,0.3,1020,2,100,
