时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-7-23 17:38:00,昆明,20,阴,东风3级,19,80%,14,90,0.0,809,25,92,
2026-7-23 19:10:00,昆明,20,阴,东风1级,21,80%,5,90,0.0,808,28,98,
2026-7-23 20:58:00,昆明,19,阴,东风2级,19,89%,9,90,0.0,808,16,96,
2026-7-23 22:50:00,昆明,19,多云,东北风2级,19,80%,8,45,0.0,808,19,96,
2026-7-23 23:58:00,昆明,20,多云,南风2级,20,80%,8,180,0.0,808,30,97,
2026-7-24 04:02:00,昆明,24,多云,南风3级,23,63%,18,180,0.0,810,30,99,
2026-7-24 07:12:00,昆明,26,阴,西南风2级,26,50%,9,225,0.0,808,30,91,
2026-7-24 10:02:00,昆明,18,小雨,东北风5级,14,90%,30,45,12.0,807,14,57,📉 红色降温预警：1小时骤降12℃;💨 北风警报：东北风 5级
2026-7-24 12:02:00,昆明,17,小雨,北风2级,17,89%,10,0,0.0,809,12,94,
2026-7-24 14:51:00,昆明,17,雾,西南风3级,16,95%,13,225,0.0,810,6,91,
