时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-2-21 16:24:00,深圳,19,多云,东风1级,19,82%,5,96,0.0,1006,9,3,
2026-2-21 17:16:00,深圳,19,雾,东风1级,20,83%,5,96,0.0,1005,9,4,
2026-2-21 18:24:00,深圳,18,雾,南风1级,19,87%,2,165,0.0,1005,8,4,
2026-2-21 19:10:00,深圳,18,雾,东北风1级,19,89%,2,40,0.0,1005,7,8,
2026-2-21 19:10:00,深圳,18,雾,无持续风向1级,19,89%,4,-1,0.0,1005,7,8,
2026-2-21 21:18:00,深圳,18,多云,无持续风向1级,18,89%,3,-1,0.0,1005,8,10,
2026-2-21 22:14:00,深圳,18,雾,东北风1级,19,87%,5,64,0.0,1005,9,10,
2026-2-21 23:18:00,深圳,18,雾,东北风1级,19,86%,4,66,0.0,1006,9,10,
2026-2-22 02:00:00,深圳,23,多云,东北风1级,23,69%,2,49,0.0,1007,15,10,
2026-2-22 04:40:00,深圳,24,多云,南风2级,23,63%,10,197,0.0,1006,18,10,
2026-2-22 05:50:00,深圳,24,阴,西南风2级,23,63%,8,224,0.0,1006,23,10,
2026-2-22 06:40:00,深圳,25,多云,南风2级,24,56%,11,163,0.0,1005,28,10,
2026-2-22 07:32:00,深圳,25,多云,西南风3级,24,60%,19,211,0.0,1004,26,91,
2026-2-22 08:24:00,深圳,25,晴,南风2级,24,59%,10,178,0.0,1003,26,91,
2026-2-22 09:24:00,深圳,24,晴,西南风2级,24,63%,8,227,0.0,1003,26,91,
2026-2-22 10:16:00,深圳,23,多云,西南风1级,24,68%,2,235,0.0,1003,20,10,
2026-2-22 11:17:00,深圳,21,晴,南风1级,21,73%,2,190,0.0,1004,22,10,🟧 橙色降温提示：1小时降温3℃
2026-2-22 12:49:00,深圳,21,晴,西南风1级,22,79%,2,233,0.0,1004,14,1,
