时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-13 15:58:00,漳浦,29,阴,西南风2级,32,85%,10,225,0.0,998,18,91,
2026-8-13 17:50:00,漳浦,28,阴,西南风2级,32,88%,6,225,0.0,998,17,91,
2026-8-13 18:58:00,漳浦,28,阴,西南风2级,32,89%,8,225,0.0,998,17,91,
2026-8-13 20:36:00,漳浦,28,阴,东北风2级,32,93%,6,45,0.0,998,11,91,
2026-8-13 21:36:00,漳浦,26,大雨,西南风5级,24,93%,35,225,0.0,998,2,91,📉 红色降温预警：1小时骤降8℃
2026-8-13 22:36:00,漳浦,27,阴,西风2级,30,91%,9,270,3.0,998,18,91,
2026-8-13 23:36:00,漳浦,28,多云,东北风2级,31,86%,11,45,0.0,998,27,91,
2026-8-14 01:48:00,漳浦,28,中雨,东南风3级,30,86%,16,135,0.0,999,6,91,
2026-8-14 04:02:00,漳浦,26,中雨,西北风3级,28,96%,17,315,3.0,1000,2,91,
2026-8-14 06:00:00,漳浦,28,阴,东北风2级,31,86%,9,45,5.0,999,30,91,
2026-8-14 08:00:00,漳浦,30,阴,西南风3级,33,77%,12,225,0.0,998,30,91,
2026-8-14 09:58:00,漳浦,29,阴,东风2级,32,77%,8,90,0.0,998,30,91,
