时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-6-20 16:00:00,沈阳,19,阴,西风2级,20,97%,10,270,0.0,1000,28,99,
2026-6-20 18:01:00,沈阳,19,阴,西南风2级,20,97%,9,225,0.0,1001,23,91,
2026-6-20 20:00:00,沈阳,19,小雨,西风2级,19,99%,11,270,0.0,1001,8,91,
2026-6-20 22:00:00,沈阳,19,晴,西北风3级,19,97%,13,315,0.0,1002,24,91,
2026-6-21 00:00:00,沈阳,21,小雨,西风4级,19,75%,20,270,0.0,1003,30,0,
2026-6-21 05:57:00,沈阳,26,晴,西南风4级,22,33%,23,225,0.0,1003,30,0,
2026-6-21 10:22:00,沈阳,26,晴,西北风3级,24,30%,12,315,0.0,1003,30,10,
2026-6-21 12:58:00,沈阳,18,晴,东南风1级,18,71%,4,135,0.0,1003,30,91,📉 红色降温预警：1小时骤降6℃
