时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-19 16:15:00,沈阳,21,晴,东风1级,23,100%,4,90,0.0,1008,23,100,
2026-8-19 17:05:00,沈阳,21,晴,东风1级,23,100%,4,90,0.0,1008,16,100,
2026-8-19 18:25:00,沈阳,21,晴,东风0级,23,100%,0,90,0.0,1007,16,100,
2026-8-19 19:05:00,沈阳,20,晴,东风1级,22,100%,5,90,0.0,1007,15,100,
2026-8-19 20:05:00,沈阳,20,晴,东北风1级,22,100%,4,45,0.0,1008,11,100,
2026-8-19 21:05:00,沈阳,20,晴,东北风2级,22,100%,6,45,0.0,1007,14,100,
2026-8-19 22:05:00,沈阳,20,晴,东风1级,21,100%,5,90,0.0,1008,22,100,
2026-8-19 23:05:00,沈阳,22,晴,东风1级,24,99%,5,90,0.0,1008,30,100,
2026-8-20 00:48:00,沈阳,26,晴,东南风2级,30,80%,6,135,0.5,1008,30,100,
2026-8-20 02:37:00,沈阳,28,晴,南风3级,33,67%,13,180,0.0,1008,30,100,
2026-8-20 03:37:00,沈阳,30,晴,东南风3级,36,63%,17,135,0.0,1007,30,100,
2026-8-20 04:25:00,沈阳,30,晴,南风3级,36,63%,13,180,0.0,1006,30,100,
2026-8-20 05:15:00,沈阳,31,晴,南风3级,37,57%,14,180,0.0,1006,30,100,
2026-8-20 06:25:00,沈阳,31,晴,西南风4级,35,51%,23,225,0.0,1005,30,100,
2026-8-20 07:25:00,沈阳,32,晴,南风3级,36,52%,15,180,0.0,1005,30,100,
