时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-3-11 16:48:00,南京,7,晴,东风2级,3,65%,10,96,0.0,1022,12,0,
2026-3-11 17:40:00,南京,7,晴,东南风2级,3,66%,10,116,0.0,1022,12,0,
2026-3-11 18:48:00,南京,6,晴,东南风1级,3,75%,5,114,0.0,1022,10,0,
2026-3-11 19:32:00,南京,6,雾,东风1级,3,77%,3,72,0.0,1022,9,0,
2026-3-11 20:26:00,南京,5,雾,东北风1级,3,82%,3,28,0.0,1022,8,0,
2026-3-11 21:24:00,南京,5,雾,西风1级,3,86%,5,263,0.0,1023,8,0,
2026-3-11 22:24:00,南京,5,雾,东北风1级,3,92%,3,42,0.0,1024,6,2,
2026-3-11 23:10:00,南京,5,雾,东北风1级,4,91%,3,23,0.0,1024,6,3,
2026-3-12 02:00:00,南京,11,晴,东南风2级,7,50%,7,126,0.0,1026,13,3,
2026-3-12 05:48:00,南京,16,晴,东北风1级,10,28%,2,43,0.0,1025,14,0,
2026-3-12 06:48:00,南京,16,晴,北风3级,11,29%,19,345,0.0,1025,13,0,
2026-3-12 07:40:00,南京,16,晴,北风2级,10,30%,9,3,0.0,1025,14,0,
2026-3-12 08:34:00,南京,15,晴,东北风3级,9,30%,17,44,0.0,1025,14,1,
2026-3-12 09:34:00,南京,14,多云,东北风2级,9,32%,9,28,0.0,1025,12,2,
2026-3-12 10:34:00,南京,13,晴,东北风2级,9,39%,8,51,0.0,1025,11,2,
2026-3-12 11:10:00,南京,12,晴,东北风2级,8,45%,6,57,0.0,1025,10,3,
2026-3-12 12:56:00,南京,10,晴,东北风1级,7,57%,3,59,0.0,1025,9,0,
2026-3-12 14:40:00,南京,9,霾,东风2级,5,67%,11,96,0.0,1026,5,0,
