时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-7 16:16:00,北京,3,晴,西北风2级,-1,18%,10,315,0.0,1028,30,0,
2025-12-7 17:08:00,北京,3,晴,北风2级,-1,18%,9,0,0.0,1029,30,0,
2025-12-7 18:24:00,北京,1,晴,东北风2级,-3,23%,9,45,0.0,1029,30,0,
2025-12-7 19:10:00,北京,2,晴,西风1级,-1,19%,3,270,0.0,1029,30,91,
2025-12-7 20:16:00,北京,2,晴,北风3级,-3,19%,16,0,0.0,1028,30,91,
2025-12-7 21:09:00,北京,1,晴,东南风2级,-3,22%,9,135,0.0,1028,30,91,
2025-12-7 22:08:00,北京,-2,晴,东北风1级,-5,31%,5,45,0.0,1028,30,91,
2025-12-7 23:10:00,北京,-2,晴,东北风2级,-6,32%,9,45,0.0,1029,30,91,
2025-12-8 01:33:00,北京,2,多云,西风2级,-1,23%,6,270,0.0,1029,30,10,
2025-12-8 03:16:00,北京,3,晴,南风3级,-2,18%,15,180,0.0,1029,30,10,
2025-12-8 04:24:00,北京,4,晴,南风3级,-2,17%,18,180,0.0,1028,30,10,
2025-12-8 05:08:00,北京,4,晴,西南风4级,-3,16%,25,225,0.0,1027,30,10,
2025-12-8 06:24:00,北京,5,晴,南风4级,-2,17%,24,180,0.0,1026,26,0,
2025-12-8 07:16:00,北京,5,晴,西南风4级,-1,17%,23,225,0.0,1025,26,0,
2025-12-8 08:24:00,北京,4,晴,西南风3级,-1,18%,16,225,0.0,1025,30,0,
2025-12-8 09:25:00,北京,3,晴,西南风2级,-1,21%,9,225,0.0,1024,28,0,
2025-12-8 10:16:00,北京,3,晴,南风2级,-1,23%,8,180,0.0,1024,26,0,
2025-12-8 11:08:00,北京,2,晴,南风2级,-1,26%,6,180,0.0,1024,23,0,
2025-12-8 12:32:00,北京,0,晴,西南风1级,-3,31%,4,225,0.0,1024,23,0,
2025-12-8 13:24:00,北京,-1,晴,西南风2级,-4,37%,6,225,0.0,1024,23,0,
2025-12-8 14:16:00,北京,-2,晴,北风0级,-4,42%,0,0,0.0,1023,19,0,
