时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-7-2 17:44:00,昆明,18,小雨,南风2级,19,96%,7,180,0.0,812,24,100,
2026-7-2 19:12:00,昆明,18,阴,西南风2级,19,97%,7,225,0.0,811,12,99,
2026-7-2 21:01:00,昆明,18,阴,南风3级,17,91%,18,180,0.0,810,30,99,
2026-7-2 23:02:00,昆明,18,阴,南风3级,17,89%,16,180,0.0,810,30,97,
2026-7-3 03:02:00,昆明,21,阴,东南风4级,19,73%,21,135,0.0,811,30,92,
2026-7-3 07:00:00,昆明,21,阴,西南风3级,20,77%,19,225,0.0,811,30,99,
2026-7-3 10:30:00,昆明,22,阴,东风1级,23,73%,4,90,0.0,809,30,99,
2026-7-3 12:50:00,昆明,19,小雨,南风3级,19,93%,14,180,0.0,810,15,98,🟧 橙色降温提示：1小时降温4℃
2026-7-3 15:00:00,昆明,19,阴,南风1级,21,97%,4,180,0.0,811,11,99,
