时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-6-27 16:02:00,厦门,23,雾,东风3级,24,97%,14,90,0.0,992,3,100,
2026-6-27 17:58:00,厦门,23,雾,东风3级,24,98%,13,90,0.0,991,2,98,
2026-6-27 20:00:00,厦门,23,雾,东北风2级,25,98%,10,45,0.0,991,2,94,
2026-6-27 21:58:00,厦门,23,雾,东北风2级,25,98%,10,45,0.0,991,6,91,
2026-6-27 23:58:00,厦门,24,雾,东北风2级,27,97%,8,45,0.0,992,7,92,
2026-6-28 05:02:00,厦门,28,阴,东南风3级,31,83%,12,135,0.0,992,10,97,
2026-6-28 08:44:00,厦门,24,小雨,北风3级,25,97%,16,0,12.0,992,8,98,📉 红色降温预警：1小时骤降6℃
