时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-23 16:26:00,武汉,-1,雾,西南风1级,-3,96%,3,223,0.0,1026,1,0,
2026-1-23 17:18:00,武汉,-1,雾,北风0级,-3,97%,1,339,0.0,1025,2,0,
2026-1-23 18:24:00,武汉,-2,雾,北风0级,-4,97%,1,343,0.0,1025,1,0,
2026-1-23 19:18:00,武汉,-2,雾,东风1级,-4,97%,3,98,0.0,1025,1,0,
2026-1-23 20:18:00,武汉,-2,雾,北风0级,-4,97%,1,345,0.0,1025,1,0,
2026-1-23 21:16:00,武汉,-2,雾,北风0级,-4,97%,1,14,0.0,1024,2,0,
2026-1-23 22:16:00,武汉,-2,雾,西南风1级,-4,98%,5,238,0.0,1024,1,0,
2026-1-23 23:17:00,武汉,-2,雾,东北风1级,-4,97%,2,44,0.0,1024,1,0,
2026-1-24 01:40:00,武汉,3,雾,北风0级,1,94%,1,338,0.0,1025,3,0,
2026-1-24 03:22:00,武汉,8,霾,东南风1级,5,61%,4,138,0.0,1025,4,0,
2026-1-24 04:32:00,武汉,9,霾,东南风1级,6,54%,3,117,0.0,1023,5,0,
2026-1-24 05:16:00,武汉,10,霾,东风1级,7,53%,3,93,0.0,1022,5,0,
2026-1-24 06:26:00,武汉,11,霾,南风2级,7,50%,8,185,0.0,1020,6,0,
2026-1-24 07:17:00,武汉,11,晴,东南风2级,8,50%,6,136,0.0,1019,8,0,
2026-1-24 08:26:00,武汉,11,晴,东南风2级,7,51%,9,142,0.0,1018,7,0,
2026-1-24 09:16:00,武汉,10,晴,东南风2级,8,53%,9,112,0.0,1018,8,0,
