时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-1-29 16:40:00,沈阳,-22,雾,北风0级,-26,76%,1,355,0.0,1031,8,0,🥶 红色极寒警报：体感低至 -26℃
2026-1-29 17:32:00,沈阳,-23,雾,东南风1级,-27,77%,4,129,0.0,1031,8,0,🥶 红色极寒警报：体感低至 -27℃
2026-1-29 18:40:00,沈阳,-23,雾,东南风1级,-27,79%,2,138,0.0,1031,9,0,🥶 红色极寒警报：体感低至 -27℃
2026-1-29 19:26:00,沈阳,-24,雾,东风1级,-28,78%,3,104,0.0,1031,10,0,🥶 红色极寒警报：体感低至 -28℃
2026-1-29 20:24:00,沈阳,-24,晴,东风1级,-29,78%,3,71,0.0,1031,12,0,🥶 红色极寒警报：体感低至 -29℃
2026-1-29 21:24:00,沈阳,-24,晴,东风1级,-28,78%,5,70,0.0,1031,12,0,🥶 红色极寒警报：体感低至 -28℃
2026-1-29 22:24:00,沈阳,-24,晴,东风1级,-28,78%,4,74,0.0,1031,11,0,🥶 红色极寒警报：体感低至 -28℃
