时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-26 16:16:00,深圳,12,多云,北风2级,10,66%,9,0,0.0,1014,15,91,
2025-12-26 17:08:00,深圳,12,阴,东北风2级,10,67%,10,45,0.0,1014,15,91,
2025-12-26 18:16:00,深圳,11,阴,东北风2级,9,70%,10,45,0.0,1014,15,91,
2025-12-26 19:09:00,深圳,12,阴,东北风3级,10,68%,12,45,0.0,1014,15,91,
2025-12-26 20:17:00,深圳,11,阴,北风3级,8,69%,12,0,0.0,1014,14,10,
2025-12-26 21:08:00,深圳,11,阴,北风2级,9,71%,7,0,0.0,1013,13,0,
2025-12-26 22:16:00,深圳,11,多云,东北风2级,9,70%,7,45,0.0,1014,12,10,
2025-12-26 23:10:00,深圳,11,多云,东北风2级,9,69%,8,45,0.0,1014,13,10,
2025-12-27 01:32:00,深圳,14,多云,北风2级,13,62%,6,0,0.0,1015,14,10,
2025-12-27 03:17:00,深圳,17,晴,北风1级,16,53%,5,0,0.0,1014,15,10,
2025-12-27 04:25:00,深圳,19,晴,北风2级,18,53%,8,0,0.0,1013,16,10,
2025-12-27 05:16:00,深圳,19,晴,西北风1级,19,51%,4,315,0.0,1012,14,10,
