时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-8-12 17:00:00,厦门,28,雾,西北风3级,31,92%,12,315,0.0,985,5,91,
2026-8-12 18:58:00,厦门,27,雾,西风3级,30,91%,12,270,0.0,984,7,91,
2026-8-12 20:36:00,厦门,27,雾,西南风2级,30,91%,10,225,0.0,984,8,10,
2026-8-12 21:36:00,厦门,27,雾,西南风2级,30,92%,9,225,0.0,984,7,5,
2026-8-12 22:36:00,厦门,27,雾,西南风2级,30,92%,10,225,0.0,985,7,91,
2026-8-12 23:36:00,厦门,28,雾,西南风2级,32,89%,9,225,0.0,985,8,91,
2026-8-13 01:50:00,厦门,30,雾,西南风3级,33,81%,12,225,0.0,985,10,91,
2026-8-13 04:02:00,厦门,33,多云,西风3级,36,68%,15,270,0.0,986,13,10,
2026-8-13 06:02:00,厦门,32,多云,东南风4级,32,70%,28,135,0.0,984,21,91,🟧 橙色降温提示：1小时降温4℃
2026-8-13 08:00:00,厦门,31,多云,南风4级,31,71%,27,180,0.0,983,26,10,
2026-8-13 10:02:00,厦门,29,多云,南风4级,29,81%,28,180,0.0,983,24,91,
2026-8-13 11:38:00,厦门,28,阴,东南风4级,29,86%,23,135,0.0,985,21,91,
