时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2025-12-16 16:24:00,宁波,7,晴,西南风0级,6,79%,1,225,0.0,1023,14,2,
2025-12-16 17:16:00,宁波,6,多云,南风1级,4,86%,5,180,0.0,1022,13,3,
2025-12-16 18:24:00,宁波,6,多云,西南风0级,5,86%,1,225,0.0,1023,15,3,
2025-12-16 19:16:00,宁波,7,阴,西北风0级,6,86%,1,315,0.0,1022,15,3,
2025-12-16 20:16:00,宁波,7,阴,南风1级,6,80%,3,180,0.0,1023,16,3,
2025-12-16 21:16:00,宁波,7,多云,西风1级,6,81%,2,270,0.0,1023,16,3,
2025-12-16 22:17:00,宁波,6,多云,东南风1级,5,85%,2,135,0.0,1024,15,8,
2025-12-16 23:17:00,宁波,5,多云,西风1级,4,89%,2,270,0.0,1025,13,10,
2025-12-17 01:32:00,宁波,12,晴,北风3级,8,51%,19,0,0.0,1027,10,10,
2025-12-17 03:09:00,宁波,14,晴,北风3级,10,48%,18,0,0.0,1027,10,10,
2025-12-17 04:24:00,宁波,15,霾,东北风4级,10,40%,22,45,0.0,1026,9,4,💨 北风警报：东北风 4级
2025-12-17 05:16:00,宁波,15,晴,北风3级,11,41%,18,0,0.0,1026,9,2,
2025-12-17 06:24:00,宁波,15,霾,东北风3级,11,40%,16,45,0.0,1026,9,0,
2025-12-17 07:16:00,宁波,15,霾,东北风4级,11,41%,20,45,0.0,1026,10,8,💨 北风警报：东北风 4级
2025-12-17 08:25:00,宁波,13,霾,北风3级,9,50%,19,0,0.0,1026,9,10,
2025-12-17 09:24:00,宁波,12,霾,北风3级,9,55%,12,0,0.0,1027,7,10,
2025-12-17 10:16:00,宁波,11,霾,北风3级,8,61%,12,0,0.0,1028,6,10,
2025-12-17 11:16:00,宁波,11,霾,北风2级,9,64%,8,0,0.0,1028,6,10,
2025-12-17 12:40:00,宁波,8,雾,北风2级,6,77%,6,0,0.0,1028,4,10,🟧 橙色降温提示：1小时降温3℃
2025-12-17 13:24:00,宁波,8,霾,北风1级,6,75%,5,0,0.0,1028,4,10,
2025-12-17 14:16:00,宁波,8,霾,北风2级,6,74%,9,0,0.0,1028,5,8,
2025-12-17 15:16:00,宁波,6,雾,西南风0级,5,82%,1,225,0.0,1028,4,0,
