时间,城市,温度,天气,风力,体感,湿度,风速(km/h),风向角,降水量(mm),气压(hPa),能见度(km),云量(%),预警
2026-5-15 17:10:00,重庆,21,雾,西北风2级,22,92%,7,315,0.0,977,5,91,
2026-5-15 19:33:00,重庆,20,中雨,西北风2级,21,96%,8,315,3.0,976,2,96,
2026-5-15 20:56:00,重庆,20,小雨,西风1级,22,95%,5,270,1.0,976,2,98,
2026-5-15 22:48:00,重庆,20,阵雨,西南风2级,21,96%,6,225,1.0,976,3,99,
2026-5-15 23:48:00,重庆,20,雾,南风2级,21,94%,9,180,0.0,976,6,99,
2026-5-16 02:48:00,重庆,22,雾,西北风2级,23,86%,10,315,0.0,978,6,100,
2026-5-16 05:48:00,重庆,22,阴,西北风2级,23,83%,7,315,0.0,978,13,91,
2026-5-16 07:58:00,重庆,22,阴,北风2级,23,83%,9,0,0.0,977,11,91,
2026-5-16 10:02:00,重庆,22,阴,西风2级,23,85%,8,270,0.0,975,12,91,
2026-5-16 11:44:00,重庆,22,多云,西北风2级,24,85%,6,315,0.0,976,11,91,
2026-5-16 13:00:00,重庆,22,雾,西北风1级,24,86%,5,315,0.0,976,10,91,
2026-5-16 14:48:00,重庆,22,雾,西风1级,24,86%,5,270,0.0,977,8,91,
